key	data	_attribution
suara pedang0	https://cdn.freesound.org/previews/522/522701_11584853-lq.mp3	Weapon, Sword, Metal sword, Swing, fast, impact by julianmateo_ -- https://freesound.org/s/522701/ -- License: Creative Commons 0
suara kebyok	https://cdn.freesound.org/previews/719/719636_15601358-lq.mp3	Fast whoosh, bamboo swoosh through air, version 1 by zapsplat.com -- https://freesound.org/s/719636/ -- License: Creative Commons 0
suara kaki	https://cdn.freesound.org/previews/223/223153_2792951-lq.mp3	dirt/gravel footstep 4 by Yoyodaman234 -- https://freesound.org/s/223153/ -- License: Creative Commons 0
suara angin	https://cdn.freesound.org/previews/546/546759_9250976-lq.mp3	Ambiance_Wind_Trees_Leaves_Moderate_Loop_Stereo.wav by Nox_Sound -- https://freesound.org/s/546759/ -- License: Creative Commons 0
suara monyet0	sound/chimpanzee-4.mp3	https://www.101soundboards.com/sounds/1249894-chimpanzee-4
suara monyet1	sound/monyet1.mp3	https://pixabay.com/sound-effects/search/monkey/
suara ayunan0	https://cdn.freesound.org/previews/175/175410_1471023-lq.mp3	Moaning Chair.aif by Housed1J -- https://freesound.org/s/175410/ -- License: Creative Commons 0
suara ayunan1	https://cdn.freesound.org/previews/335/335752_367313-lq.mp3	painful_squeek_rust.wav by j1987 -- https://freesound.org/s/335752/ -- License: Creative Commons 0
suara retak	https://cdn.pixabay.com/audio/2025/08/07/audio_a31d7b40b1.mp3	https://pixabay.com/sound-effects/glass-breaking-386153/
suara besi0	https://cdn.freesound.org/previews/699/699940_10996917-lq.mp3	Best_custom_sword_hit_w_ringouts_2.5_12262022.mp3 by Artninja -- https://freesound.org/s/699940/ -- License: Attribution 4.0
suara besi1	https://cdn.freesound.org/previews/320/320521_2906614-lq.mp3	Unsheathed blade by deleted_user_2906614 -- https://freesound.org/s/320521/ -- License: Creative Commons 0
suara kejang	https://cdn.freesound.org/previews/403/403132_3577171-lq.mp3	Weird HiFreq Digital BitCrushed Sound by gerainsan -- https://freesound.org/s/403132/ -- License: Creative Commons 0
